product_id,qty,revenue,avg_price,share,predicted_qty_30d,predicted_revenue_30d
a92930c327948861c015c919a0bcb4a8,107,8341.0,77.95327102803738,0.005049075122687807,23.566742819342572,1837.1046902442652
19c91ef95d509ea33eda93495c4d3481,106,13036.939999999999,122.98999999999998,0.005001887504718762,23.346492886451518,2871.3851601046717
e7cc48a9daff5436f63d3aad9426f28b,89,15536.0,174.56179775280899,0.004199697999244998,19.602244027303634,3421.802957395385
3fbc0ef745950c7932d5f2a446189725,81,5426.19,66.99,0.0038221970554926385,17.840244564175215,1195.1179833540975
2fea0f2cec6b6324a277d4a61c2ed2c6,58,3199.0,55.1551724137931,0.0027368818422046056,12.77449610768102,704.5795353184756
fbce4c4cb307679d89a3bf3d3bb353b9,57,8133.0,142.68421052631578,0.0026896942242355605,12.554246174789967,1791.2927042029262
bb50f2e236e5eea0100680137654686c,57,18810.0,330.0,0.0026896942242355605,12.554246174789967,4142.901237680689
d04857e7b4b708ee8b8b9921163edba3,54,3900.4599999999996,72.23074074074073,0.002548131370328426,11.893496376116811,859.0760532442328
73326828aa5efe1ba096223de496f596,53,4379.02,82.62301886792454,0.002500943752359381,11.673246443225759,964.478861128575
d285360f29ac7fd97640bf0baef03de0,51,9090.67,178.24843137254902,0.002406568516421291,11.232746577443656,2002.2194574347004
4fe644d766c7566dbc46fb851363cb3b,48,4378.889999999999,91.22687499999999,0.0022650056625141564,10.5719967787705,964.4502286372989
18b0e642cbae7251e60a64aa07dd9eb9,47,1062.2,22.6,0.0022178180445451114,10.351746845879447,233.94947871687552
d1c427060a0f73f6b889a5c7c61f2ac4,46,5366.57,116.6645652173913,0.0021706304265760664,10.131496912988394,1181.986682355133
89321f94e35fc6d7903d36f74e351d40,46,1327.01,28.84804347826087,0.0021706304265760664,10.131496912988394,292.273863445755
3dd2a17168ec895c781a9191c1e95ad7,45,6745.5,149.9,0.0021234428086070213,9.911246980097342,1485.6959223165916
a62e25e09e05e6faf31d90c6ec1aa3d1,43,4515.0,105.0,0.0020290675726689317,9.47074711431524,994.4284470031001
99a4788cb24856965c36a24e339b6058,40,3137.0,78.425,0.001887504718761797,8.809997315642082,690.9240394792303
d017a2151d543a9885604dc62a3d9dcc,39,1911.0,49.0,0.001840317100792752,8.58974738275103,420.89762175480047
2ff995aead9c63a1f37a07b3664ead37,39,2863.6699999999996,73.42743589743588,0.001840317100792752,8.58974738275103,630.7231253221189
054515fd15bc1a2029f10de97ffa9120,38,1634.0,43.0,0.001793129482823707,8.369497449859978,359.88839034397904
