order_date,predicted_items,predicted_revenue
2018-08-30,48.30741928957188,5877.558986372275
2018-08-31,49.730759993837566,6050.736710830683
2018-09-01,39.593648654445275,4817.355364343326
2018-09-02,25.880397853043554,3148.865478824753
2018-09-03,77.52698734925696,9432.700978074401
2018-09-04,92.24892311287914,11223.917464419636
2018-09-05,91.69284039940959,11156.25893498905
2018-09-06,91.02225379853962,11074.668728763005
2018-09-07,87.77519753745412,10679.599710643892
2018-09-08,72.33480356890084,8800.968484682517
2018-09-09,63.77710052329319,7759.753591025912
2018-09-10,126.04355173753893,15335.706628177782
2018-09-11,146.8629296851764,17868.798309463946
2018-09-12,148.53474819110878,18072.208303780233
2018-09-13,146.1953413617272,17787.57290335882
2018-09-14,142.98654775461787,17397.159298611557
2018-09-15,128.69672600021818,15658.51808156023
2018-09-16,123.70785327749509,15051.522424691464
2018-09-17,193.3176689681967,23520.941900405855
2018-09-18,218.25216243176519,26554.719284557574
2018-09-19,223.01683020346525,27134.43594693534
2018-09-20,222.12940371921533,27026.462853279027
2018-09-21,220.0268747035623,26770.648353316126
2018-09-22,207.5874774657627,25257.148106453085
2018-09-23,203.43076707523576,24751.401559258364
2018-09-24,274.4536779226214,33392.75218465767
2018-09-25,299.7342343350565,36468.635013995125
2018-09-26,304.2921246654537,37023.193085287254
2018-09-27,301.5187684250383,36685.75910241283
2018-09-28,296.8585578232877,36118.75173369961
